smiles,MolWt,LogP,NumHDonors,NumHAcceptors
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.324,1.3424,1.0,5.0
CCN1C(=O)NC(c2ccccc2)C1=O,204.229,1.2994,1.0,2.0
CC(O)(P(=O)(O)O)P(=O)(O)O,206.027,-0.9922,5.0,3.0
Clc1ccccc1-c1cccc(Cl)c1,223.106,4.4594,0.0,0.0
O=C(O)c1ccccc1-c1ccccc1,198.216,3.131,1.0,1.0
c1ccc(C2CCCCC2)cc1,160.265,4.0252,0.0,0.0
O=S(=O)(c1ccc(N)cc1)c1ccc(N)cc1,248.31,1.4444,2.0,2.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.284,3.2268,1.0,1.0
CCOC(=O)C(c1ccccc1)c1ccccc1,240.286,3.4838,0.0,2.0
O=C(O)c1cc(O)c(O)c(O)c1,170.12,0.48,4.0,4.0
CC1(C)c2ccccc2C2(C)c2ccccc21,208.303,4.9806,0.0,0.0
CN(C)C(=S)SSC(=S)N(C)C,240.45,1.7516,0.0,4.0
O=c1oc2ccccc2c(=O)c1-c1c(O)c(Br)c(O)c2c(=O)c3ccccc3oc12,550.198,5.136,2.0,6.0
CC(C)(C)OC(=O)N1CCC(O)(c2ccc(Cl)cc2)CC1,341.85,3.693,1.0,3.0
O=C(c1ccc(Cl)cc1)C(O)c1ccc(Cl)cc1,283.134,4.288,1.0,2.0
O=S(=O)(O)c1ccc(N=Nc2ccc(O)c(S(=O)(=O)O)c2)c(O)c1,390.359,-0.835,3.0,8.0
c1cnc(N2CCN(c3ccccc3)CC2)cn1,241.306,1.9398,0.0,4.0
O=c1c(Cl)c(Cl)c(=O)c2c1c(Cl)c(Cl)c(Cl)c2Cl,396.79,-1.189,0.0,2.0
FC(F)(F)c1cc(C(F)(F)F)c(N(=O)=O)c(N)c1N(=O)=O,334.152,3.315,1.0,4.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(N(=O)=O)c1,346.335,3.029,1.0,6.0

